id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,displacementReason,numberMales,numberFemales,idpOriginAdmin1Name,idpOriginAdmin1Pcode,assessmentType,operationStatus
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,389281,2014-12-01T00:00:00,2014,12,1,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1188018,2015-02-01T00:00:00,2015,2,2,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,148484,2015-02-28T00:00:00,2015,2,2,Conflict,56946,91538,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1491706,2015-04-01T00:00:00,2015,4,3,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,147285,2015-04-30T00:00:00,2015,4,3,Conflict,56467,90818,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1385298,2015-06-01T00:00:00,2015,6,4,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,111141,2015-06-30T00:00:00,2015,6,4,Conflict,41704,69437,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2150451,2015-08-01T00:00:00,2015,8,5,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,167851,2015-08-30T00:00:00,2015,8,5,Conflict,74386,87940,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2233506,2015-10-01T00:00:00,2015,10,6,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,189011,2015-10-30T00:00:00,2015,10,6,Conflict,82285,106726,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2151979,2015-12-01T00:00:00,2015,12,7,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,162667,2015-12-30T00:00:00,2015,12,7,Conflict,65216,97451,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2241484,2016-02-01T00:00:00,2016,2,8,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,186268,2016-02-28T00:00:00,2016,2,8,Conflict,84109,102159,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,200085,2016-04-30T00:00:00,2016,4,9,Conflict,92836,107249,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2155618,2016-04-30T00:00:00,2016,4,9,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,279782,2016-06-30T00:00:00,2016,6,10,Conflict,121751,158031,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2066783,2016-06-30T00:00:00,2016,6,10,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2093030,2016-08-30T00:00:00,2016,8,11,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,318645,2016-08-30T00:00:00,2016,8,11,Conflict,137541,181104,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1822541,2016-10-01T00:00:00,2016,10,12,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,398749,2016-10-30T00:00:00,2016,10,12,Conflict,174983,223766,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1770444,2016-11-01T00:00:00,2016,11,13,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1770444,2016-11-30T00:00:00,2016,11,13,Conflict,786841,983603,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1899830,2017-01-01T00:00:00,2017,1,14,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1899830,2017-01-30T00:00:00,2017,1,14,Conflict,841852,1057978,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1811663,2017-03-30T00:00:00,2017,3,15,Conflict,809547,1002116,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1832743,2017-03-31T00:00:00,2017,3,15,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1884331,2017-04-30T00:00:00,2017,4,16,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1883224,2017-04-30T00:00:00,2017,4,16,Conflict,833523,1049701,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1107,2017-04-30T00:00:00,2017,4,16,Natural disaster,454,653,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1825053,2017-06-30T00:00:00,2017,6,17,Conflict,810809,1014244,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,268,2017-06-30T00:00:00,2017,6,17,Natural disaster,111,157,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1825321,2017-06-30T00:00:00,2017,6,17,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1757288,2017-08-01T00:00:00,2017,8,18,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1756181,2017-08-30T00:00:00,2017,8,18,Conflict,783438,972743,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1107,2017-08-30T00:00:00,2017,8,18,Natural disaster,454,653,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1713771,2017-10-01T00:00:00,2017,10,19,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1713771,2017-10-30T00:00:00,2017,10,19,Conflict,766379,947392,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1702680,2017-12-01T00:00:00,2017,12,20,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1702680,2017-12-30T00:00:00,2017,12,20,Conflict,756527,946153,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1780988,2018-02-28T00:00:00,2018,2,21,Conflict,799674,981314,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1502,2018-02-28T00:00:00,2018,2,21,Natural disaster,708,794,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1782490,2018-02-28T00:00:00,2018,2,21,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1688423,2018-04-30T00:00:00,2018,4,22,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1881198,2018-04-30T00:00:00,2018,4,22,Conflict,846651,1034547,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2017,2018-04-30T00:00:00,2018,4,22,Conflict; Insecurity; Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,137535,2018-04-30T00:00:00,2018,4,22,Conflict; Insecurity,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,50780,2018-04-30T00:00:00,2018,4,22,Insecurity,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2443,2018-04-30T00:00:00,2018,4,22,Conflict; Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1917188,2018-06-30T00:00:00,2018,6,23,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1320,2018-06-30T00:00:00,2018,6,23,Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1918508,2018-06-30T00:00:00,2018,6,23,Conflict,858911,1059597,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1923638,2018-08-30T00:00:00,2018,8,24,Conflict,871903,1051735,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,3110,2018-08-30T00:00:00,2018,8,24,Natural disaster,1266,1844,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1925763,2018-08-30T00:00:00,2018,8,24,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,985,2018-08-30T00:00:00,2018,8,24,Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1770900,2018-10-30T00:00:00,2018,10,25,Insecurity,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,68814,2018-10-30T00:00:00,2018,10,25,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,4840,2018-10-30T00:00:00,2018,10,25,Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,679,2018-10-30T00:00:00,2018,10,25,Conflict; Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,154072,2018-10-30T00:00:00,2018,10,25,Conflict; Insecurity,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2017607,2018-10-30T00:00:00,2018,10,25,Conflict,918638,1098969,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,8995,2018-10-30T00:00:00,2018,10,25,Natural disaster,3672,5323,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,19352,2018-10-30T00:00:00,2018,10,25,Conflict; Insecurity; Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,7945,2018-10-30T00:00:00,2018,10,25,Insecurity; Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1942304,2019-01-30T00:00:00,2019,1,26,Conflict,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1944464,2019-01-30T00:00:00,2019,1,26,Conflict,878655,1065809,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,3885,2019-01-30T00:00:00,2019,1,26,Natural disaster,1609,2276,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,6045,2019-01-30T00:00:00,2019,1,26,Natural disaster,,,Not available,Not available,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,4846,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity,,,Plateau,NGA032,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,146,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity,,,Kaduna,NGA019,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,977,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity; Other reason,,,Borno,NGA008,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,770,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity; Natural disaster,,,Borno,NGA008,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1981,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity; Natural disaster,,,Taraba,NGA035,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,94985,2019-05-30T00:00:00,2019,5,27,Insecurity,,,Yobe,NGA036,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,35228,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity,,,Borno,NGA008,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,47789,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,7738,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity,,,Yobe,NGA036,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,29778,2019-05-30T00:00:00,2019,5,27,Conflict,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1341,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity,,,Nasarawa,NGA026,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,66262,2019-05-30T00:00:00,2019,5,27,Insecurity,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,19541,2019-05-30T00:00:00,2019,5,27,Conflict,,,Taraba,NGA035,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1620,2019-05-30T00:00:00,2019,5,27,Conflict,,,Bauchi,NGA005,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1425,2019-05-30T00:00:00,2019,5,27,Conflict,,,Nasarawa,NGA026,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1973188,2019-05-30T00:00:00,2019,5,27,Conflict,896367,1076821,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,6848,2019-05-30T00:00:00,2019,5,27,Natural disaster,2869,3979,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1604,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity; Natural disaster,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,50655,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity,,,Taraba,NGA035,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,8300,2019-05-30T00:00:00,2019,5,27,Conflict,,,Plateau,NGA032,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1601194,2019-05-30T00:00:00,2019,5,27,Insecurity,,,Borno,NGA008,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1002,2019-05-30T00:00:00,2019,5,27,Insecurity; Natural disaster,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2441,2019-05-30T00:00:00,2019,5,27,Conflict,,,Yobe,NGA036,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,323,2019-05-30T00:00:00,2019,5,27,Conflict; Insecurity,,,Bauchi,NGA005,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,90,2019-05-30T00:00:00,2019,5,27,Insecurity,,,Taraba,NGA035,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,11336,2019-08-30T00:00:00,2019,8,1,Conflict,,,Taraba,NGA035,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,9651,2019-08-30T00:00:00,2019,8,1,Conflict,,,Kaduna,NGA019,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,36753,2019-08-30T00:00:00,2019,8,1,Conflict,,,Sokoto,NGA034,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,58523,2019-08-30T00:00:00,2019,8,1,Conflict,,,Katsina,NGA021,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,72944,2019-08-30T00:00:00,2019,8,1,Conflict,,,Zamfara,NGA037,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,9846,2019-08-30T00:00:00,2019,8,1,Conflict,,,Nasarawa,NGA026,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,14521,2019-08-30T00:00:00,2019,8,1,Conflict,,,Plateau,NGA032,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,83496,2019-08-30T00:00:00,2019,8,1,Conflict,,,Benue,NGA007,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,12225,2019-08-30T00:00:00,2019,8,1,Conflict,,,Borno,NGA008,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,460,2019-08-30T00:00:00,2019,8,1,Conflict,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,14276,2019-08-31T00:00:00,2019,8,28,Conflict,,,Plateau,NGA032,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,107228,2019-08-31T00:00:00,2019,8,28,Conflict,,,Yobe,NGA036,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,146,2019-08-31T00:00:00,2019,8,28,Conflict,,,Kaduna,NGA019,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,5955,2019-08-31T00:00:00,2019,8,28,Natural disaster,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,80021,2019-08-31T00:00:00,2019,8,28,Conflict,,,Taraba,NGA035,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,388,2019-08-31T00:00:00,2019,8,28,Conflict,,,Zamfara,NGA037,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1790,2019-08-31T00:00:00,2019,8,28,Conflict,,,Nasarawa,NGA026,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,158025,2019-08-31T00:00:00,2019,8,28,Conflict,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1647695,2019-08-31T00:00:00,2019,8,28,Conflict,,,Borno,NGA008,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2989,2019-08-31T00:00:00,2019,8,28,Conflict,,,Bauchi,NGA005,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2013597,2019-08-31T00:00:00,2019,8,28,Conflict,910820,1102777,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,4916,2019-08-31T00:00:00,2019,8,28,Natural disaster,1996,2920,Not available,Not available,SA,Active
,North Central and North West,Nigeria,NGA,,,,,0,6227,2019-10-30T00:00:00,2019,10,2,Natural disaster,,,Plateau,NGA032,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,1643,2019-10-30T00:00:00,2019,10,2,Conflict,,,Bauchi,NGA005,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,42734,2019-10-30T00:00:00,2019,10,2,Conflict,,,Sokoto,NGA034,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,400,2019-10-30T00:00:00,2019,10,2,Natural disaster,,,Bauchi,NGA005,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,18555,2019-10-30T00:00:00,2019,10,2,Conflict,,,Zamfara,NGA037,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,752,2019-10-30T00:00:00,2019,10,2,Natural disaster,,,Kaduna,NGA019,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,58,2019-10-30T00:00:00,2019,10,2,Insecurity,,,Sokoto,NGA034,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,11913,2019-10-30T00:00:00,2019,10,2,Conflict,,,Nasarawa,NGA026,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,4575,2019-10-30T00:00:00,2019,10,2,Natural disaster,,,Kano,NGA020,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,58,2019-10-30T00:00:00,2019,10,2,Conflict,,,Yobe,NGA036,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,46841,2019-10-30T00:00:00,2019,10,2,Insecurity,,,Zamfara,NGA037,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,1614,2019-10-30T00:00:00,2019,10,2,Natural disaster,,,Zamfara,NGA037,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,53767,2019-10-30T00:00:00,2019,10,2,Conflict,,,Kaduna,NGA019,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,109,2019-10-30T00:00:00,2019,10,2,Conflict,,,Adamawa,NGA002,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,25363,2019-10-30T00:00:00,2019,10,2,Natural disaster,,,Katsina,NGA021,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,30802,2019-10-30T00:00:00,2019,10,2,Conflict,,,Borno,NGA008,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,483,2019-10-30T00:00:00,2019,10,2,Conflict,,,Kano,NGA020,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,40371,2019-10-30T00:00:00,2019,10,2,Conflict,,,Katsina,NGA021,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,977,2019-10-30T00:00:00,2019,10,2,Natural disaster,,,Nasarawa,NGA026,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,155614,2019-10-30T00:00:00,2019,10,2,Conflict,,,Benue,NGA007,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,84697,2019-10-30T00:00:00,2019,10,2,Conflict,,,Plateau,NGA032,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,12227,2019-10-30T00:00:00,2019,10,2,Conflict,,,Taraba,NGA035,BA,Active
,North Central and North West,Nigeria,NGA,,,,,0,269,2019-10-30T00:00:00,2019,10,2,Conflict,,,Kogi,NGA023,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,135442,2019-11-30T00:00:00,2019,11,29,Conflict,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1790,2019-11-30T00:00:00,2019,11,29,Conflict,,,Nasarawa,NGA026,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2989,2019-11-30T00:00:00,2019,11,29,Conflict,,,Bauchi,NGA005,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,14271,2019-11-30T00:00:00,2019,11,29,Conflict,,,Plateau,NGA032,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,86552,2019-11-30T00:00:00,2019,11,29,Conflict,,,Taraba,NGA035,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,112148,2019-11-30T00:00:00,2019,11,29,Conflict,,,Yobe,NGA036,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,799,2019-11-30T00:00:00,2019,11,29,Natural disaster,,,Yobe,NGA036,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1676092,2019-11-30T00:00:00,2019,11,29,Conflict,,,Borno,NGA008,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,146,2019-11-30T00:00:00,2019,11,29,Conflict,,,Kaduna,NGA019,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,4615,2019-11-30T00:00:00,2019,11,29,Natural disaster,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,388,2019-11-30T00:00:00,2019,11,29,Conflict,,,Zamfara,NGA037,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2079,2019-11-30T00:00:00,2019,11,29,Conflict,984,1095,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,144668,2019-11-30T00:00:00,2019,11,29,Conflict,67153,77515,Adamawa,NGA002,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,9128,2019-11-30T00:00:00,2019,11,29,Conflict,4194,4934,Bauchi,NGA005,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1655693,2019-11-30T00:00:00,2019,11,29,Conflict,749171,906522,Borno,NGA008,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,79,2019-11-30T00:00:00,2019,11,29,Conflict,36,43,Jigawa,NGA018,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,133,2019-11-30T00:00:00,2019,11,29,Conflict,61,72,Kaduna,NGA019,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,84,2019-11-30T00:00:00,2019,11,29,Conflict,37,47,Kano,NGA020,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1405,2019-11-30T00:00:00,2019,11,29,Conflict,645,760,Nasarawa,NGA026,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,14916,2019-11-30T00:00:00,2019,11,29,Conflict,7156,7760,Plateau,NGA032,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,83364,2019-11-30T00:00:00,2019,11,29,Conflict,39908,43456,Taraba,NGA035,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,106871,2019-11-30T00:00:00,2019,11,29,Conflict,47653,59218,Yobe,NGA036,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,218,2019-11-30T00:00:00,2019,11,29,Conflict,100,118,Zamfara,NGA037,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,5702,2019-11-30T00:00:00,2019,11,29,Natural disaster,2324,3378,Adamawa,NGA002,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2795,2019-11-30T00:00:00,2019,11,29,Natural disaster,1151,1644,Borno,NGA008,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1118,2019-11-30T00:00:00,2019,11,29,Natural disaster,475,643,Taraba,NGA035,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,6979,2019-11-30T00:00:00,2019,11,29,Natural disaster,2943,4036,Yobe,NGA036,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,2028947,2019-12-31T00:00:00,2019,12,30,Conflict,923488,1105459,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,10145,2019-12-31T00:00:00,2019,12,30,Natural disaster,4214,5931,Not available,Not available,SA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,389,2019-12-31T00:00:00,2019,12,30,Insecurity,,,Zamfara,NGA037,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,106029,2019-12-31T00:00:00,2019,12,30,Insecurity,,,Yobe,NGA036,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,92669,2019-12-31T00:00:00,2019,12,30,Insecurity,,,Adamawa,NGA002,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,17011,2019-12-31T00:00:00,2019,12,30,Conflict,,,Borno,NGA008,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,14081,2019-12-31T00:00:00,2019,12,30,Conflict,,,Plateau,NGA032,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1790,2019-12-31T00:00:00,2019,12,30,Conflict,,,Nasarawa,NGA026,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1981,2019-12-31T00:00:00,2019,12,30,Natural disaster,,,Taraba,NGA035,BA,Active
,Lake Chad Basin Crisis,Nigeria,NGA,,,,,0,1665207,2019-12-31T00:00:00,2019,12,30,Insecurity,,,Borno,NGA008,BA,Active
